year,geography,data_type,all,category,value
2020,Kittitas,Max. % Total Population,5,0-4,5
2020,Kittitas,Max. Sub-Population,2331,0-4,2331
2020,Kittitas,Max. Total Population,48140,0-4,48140
2020,Klickitat,Max. % Total Population,5,0-4,5
2020,Klickitat,Max. Sub-Population,1109,0-4,1109
2020,Klickitat,Max. Total Population,22770,0-4,22770
2020,Lewis,Max. % Total Population,6,0-4,6
2020,Lewis,Max. Sub-Population,4576,0-4,4576
2020,Lewis,Max. Total Population,80250,0-4,80250
2020,Lincoln,Max. % Total Population,5,0-4,5
2020,Lincoln,Max. Sub-Population,517,0-4,517
2020,Lincoln,Max. Total Population,11050,0-4,11050
2020,Mason,Max. % Total Population,5,0-4,5
2020,Mason,Max. Sub-Population,3284,0-4,3284
2020,Mason,Max. Total Population,65650,0-4,65650
2020,Okanogan,Max. % Total Population,6,0-4,6
2020,Okanogan,Max. Sub-Population,2569,0-4,2569
2020,Okanogan,Max. Total Population,43130,0-4,43130
2020,Pacific,Max. % Total Population,4,0-4,4
2020,Pacific,Max. Sub-Population,927,0-4,927
2020,Pacific,Max. Total Population,21840,0-4,21840
2020,Pend Oreille,Max. % Total Population,5,0-4,5
2020,Pend Oreille,Max. Sub-Population,635,0-4,635
2020,Pend Oreille,Max. Total Population,13850,0-4,13850
2020,Pierce,Max. % Total Population,7,0-4,7
2020,Pierce,Max. Sub-Population,60030,0-4,60030
2020,Pierce,Max. Total Population,900700,0-4,900700
2020,San Juan,Max. % Total Population,3,0-4,3
2020,San Juan,Max. Sub-Population,485,0-4,485
2020,San Juan,Max. Total Population,17340,0-4,17340
2020,Skagit,Max. % Total Population,6,0-4,6
2020,Skagit,Max. Sub-Population,7223,0-4,7223
2020,Skagit,Max. Total Population,130450,0-4,130450
2020,Skamania,Max. % Total Population,4,0-4,4
2020,Skamania,Max. Sub-Population,519,0-4,519
2020,Skamania,Max. Total Population,12220,0-4,12220
2020,Snohomish,Max. % Total Population,6,0-4,6
2020,Snohomish,Max. Sub-Population,49253,0-4,49253
2020,Snohomish,Max. Total Population,830500,0-4,830500
2020,Spokane,Max. % Total Population,6,0-4,6
2020,Spokane,Max. Sub-Population,30683,0-4,30683
2020,Spokane,Max. Total Population,522600,0-4,522600
2020,Stevens,Max. % Total Population,5,0-4,5
2020,Stevens,Max. Sub-Population,2203,0-4,2203
2020,Stevens,Max. Total Population,45920,0-4,45920
2020,Thurston,Max. % Total Population,5,0-4,5
2020,Thurston,Max. Sub-Population,15825,0-4,15825
2020,Thurston,Max. Total Population,291000,0-4,291000
2020,Wahkiakum,Max. % Total Population,3,0-4,3
2020,Wahkiakum,Max. Sub-Population,144,0-4,144
2020,Wahkiakum,Max. Total Population,4210,0-4,4210
2020,Walla Walla,Max. % Total Population,5,0-4,5
2020,Walla Walla,Max. Sub-Population,3303,0-4,3303
2020,Walla Walla,Max. Total Population,62580,0-4,62580
2020,Whatcom,Max. % Total Population,5,0-4,5
2020,Whatcom,Max. Sub-Population,11258,0-4,11258
2020,Whatcom,Max. Total Population,228000,0-4,228000
2020,Whitman,Max. % Total Population,4,0-4,4
2020,Whitman,Max. Sub-Population,2007,0-4,2007
2020,Whitman,Max. Total Population,50480,0-4,50480
2020,Yakima,Max. % Total Population,8,0-4,8
2020,Yakima,Max. Sub-Population,19901,0-4,19901
2020,Yakima,Max. Total Population,258200,0-4,258200
2020,State Total,Max. % Total Population,6,0-4,6
2020,State Total,Max. Sub-Population,449128,0-4,449128
2020,State Total,Max. Total Population,7656200,0-4,7656200
2019,Adams,Max. % Total Population,31,5-19,31
2019,Adams,Max. Sub-Population,6199,5-19,6199
2019,Adams,Max. Total Population,20150,5-19,20150
2019,Asotin,Max. % Total Population,17,5-19,17
2019,Asotin,Max. Sub-Population,3772,5-19,3772
2019,Asotin,Max. Total Population,22520,5-19,22520
2019,Benton,Max. % Total Population,21,5-19,21
2019,Benton,Max. Sub-Population,43343,5-19,43343
2019,Benton,Max. Total Population,201800,5-19,201800
2019,Chelan,Max. % Total Population,19,5-19,19
2019,Chelan,Max. Sub-Population,15160,5-19,15160
2019,Chelan,Max. Total Population,78420,5-19,78420
2019,Clallam,Max. % Total Population,14,5-19,14
2019,Clallam,Max. Sub-Population,10953,5-19,10953
2019,Clallam,Max. Total Population,76010,5-19,76010
2019,Clark,Max. % Total Population,20,5-19,20
2019,Clark,Max. Sub-Population,97420,5-19,97420
2019,Clark,Max. Total Population,488500,5-19,488500
2019,Columbia,Max. % Total Population,15,5-19,15
2019,Columbia,Max. Sub-Population,641,5-19,641
2019,Columbia,Max. Total Population,4160,5-19,4160
2019,Cowlitz,Max. % Total Population,19,5-19,19
2019,Cowlitz,Max. Sub-Population,20444,5-19,20444
2019,Cowlitz,Max. Total Population,108950,5-19,108950
2019,Douglas,Max. % Total Population,21,5-19,21
2019,Douglas,Max. Sub-Population,9094,5-19,9094
2019,Douglas,Max. Total Population,42820,5-19,42820
2019,Ferry,Max. % Total Population,16,5-19,16
2019,Ferry,Max. Sub-Population,1282,5-19,1282
2019,Ferry,Max. Total Population,7830,5-19,7830
2019,Franklin,Max. % Total Population,27,5-19,27
2019,Franklin,Max. Sub-Population,25147,5-19,25147
2019,Franklin,Max. Total Population,94680,5-19,94680
2019,Garfield,Max. % Total Population,17,5-19,17
2019,Garfield,Max. Sub-Population,384,5-19,384
2019,Garfield,Max. Total Population,2220,5-19,2220
2019,Grant,Max. % Total Population,24,5-19,24
2019,Grant,Max. Sub-Population,23791,5-19,23791
2019,Grant,Max. Total Population,98740,5-19,98740
2019,Grays Harbor,Max. % Total Population,17,5-19,17
2019,Grays Harbor,Max. Sub-Population,12631,5-19,12631
2019,Grays Harbor,Max. Total Population,74160,5-19,74160
2019,Island,Max. % Total Population,15,5-19,15
2019,Island,Max. Sub-Population,12357,5-19,12357
2019,Island,Max. Total Population,84820,5-19,84820
2019,Jefferson,Max. % Total Population,11,5-19,11
2019,Jefferson,Max. Sub-Population,3477,5-19,3477
2019,Jefferson,Max. Total Population,31900,5-19,31900
2019,King,Max. % Total Population,17,5-19,17
2019,King,Max. Sub-Population,384286,5-19,384286
2019,King,Max. Total Population,2226300,5-19,2226300
2019,Kitsap,Max. % Total Population,17,5-19,17
2019,Kitsap,Max. Sub-Population,45672,5-19,45672
2019,Kitsap,Max. Total Population,270100,5-19,270100
2019,Kittitas,Max. % Total Population,21,5-19,21
2019,Kittitas,Max. Sub-Population,9652,5-19,9652
2019,Kittitas,Max. Total Population,46570,5-19,46570
2019,Klickitat,Max. % Total Population,17,5-19,17
2019,Klickitat,Max. Sub-Population,3722,5-19,3722
2019,Klickitat,Max. Total Population,22430,5-19,22430
2019,Lewis,Max. % Total Population,18,5-19,18
2019,Lewis,Max. Sub-Population,14349,5-19,14349
2019,Lewis,Max. Total Population,79480,5-19,79480
2019,Lincoln,Max. % Total Population,18,5-19,18
2019,Lincoln,Max. Sub-Population,2004,5-19,2004
2019,Lincoln,Max. Total Population,10960,5-19,10960
2019,Mason,Max. % Total Population,16,5-19,16
2019,Mason,Max. Sub-Population,10581,5-19,10581
2019,Mason,Max. Total Population,64980,5-19,64980
2019,Okanogan,Max. % Total Population,19,5-19,19
2019,Okanogan,Max. Sub-Population,7964,5-19,7964
2019,Okanogan,Max. Total Population,42730,5-19,42730
2019,Pacific,Max. % Total Population,14,5-19,14
2019,Pacific,Max. Sub-Population,3066,5-19,3066
2019,Pacific,Max. Total Population,21640,5-19,21640
2019,Pend Oreille,Max. % Total Population,16,5-19,16
2019,Pend Oreille,Max. Sub-Population,2196,5-19,2196
2019,Pend Oreille,Max. Total Population,13740,5-19,13740
2019,Pierce,Max. % Total Population,20,5-19,20
2019,Pierce,Max. Sub-Population,173701,5-19,173701
2019,Pierce,Max. Total Population,888300,5-19,888300
2019,San Juan,Max. % Total Population,12,5-19,12
2019,San Juan,Max. Sub-Population,2011,5-19,2011
2019,San Juan,Max. Total Population,17150,5-19,17150
2019,Skagit,Max. % Total Population,18,5-19,18
2019,Skagit,Max. Sub-Population,23621,5-19,23621
2019,Skagit,Max. Total Population,129200,5-19,129200
2019,Skamania,Max. % Total Population,17,5-19,17
2019,Skamania,Max. Sub-Population,2008,5-19,2008
2019,Skamania,Max. Total Population,12060,5-19,12060
2019,Snohomish,Max. % Total Population,18,5-19,18
2019,Snohomish,Max. Sub-Population,151203,5-19,151203
2019,Snohomish,Max. Total Population,818700,5-19,818700
2019,Spokane,Max. % Total Population,20,5-19,20
2019,Spokane,Max. Sub-Population,103124,5-19,103124
2019,Spokane,Max. Total Population,515250,5-19,515250
2019,Stevens,Max. % Total Population,18,5-19,18
2019,Stevens,Max. Sub-Population,8090,5-19,8090
2019,Stevens,Max. Total Population,45570,5-19,45570
2019,Thurston,Max. % Total Population,19,5-19,19
2019,Thurston,Max. Sub-Population,53512,5-19,53512
2019,Thurston,Max. Total Population,285800,5-19,285800
2019,Wahkiakum,Max. % Total Population,14,5-19,14
2019,Wahkiakum,Max. Sub-Population,581,5-19,581
2019,Wahkiakum,Max. Total Population,4190,5-19,4190
2019,Walla Walla,Max. % Total Population,20,5-19,20
2019,Walla Walla,Max. Sub-Population,12627,5-19,12627
2019,Walla Walla,Max. Total Population,62200,5-19,62200
2019,Whatcom,Max. % Total Population,19,5-19,19
2019,Whatcom,Max. Sub-Population,42362,5-19,42362
2019,Whatcom,Max. Total Population,225300,5-19,225300
2019,Whitman,Max. % Total Population,24,5-19,24
2019,Whitman,Max. Sub-Population,12258,5-19,12258
2019,Whitman,Max. Total Population,50130,5-19,50130
2019,Yakima,Max. % Total Population,25,5-19,25
2019,Yakima,Max. Sub-Population,63870,5-19,63870
2019,Yakima,Max. Total Population,255950,5-19,255950
2019,State Total,Max. % Total Population,19,5-19,19
2019,State Total,Max. Sub-Population,1418557,5-19,1418557
2019,State Total,Max. Total Population,7546410,5-19,7546410
2020,Adams,Max. % Total Population,30,5-19,30
2020,Adams,Max. Sub-Population,6216,5-19,6216
2020,Adams,Max. Total Population,20450,5-19,20450
2020,Asotin,Max. % Total Population,17,5-19,17
2020,Asotin,Max. Sub-Population,3790,5-19,3790
2020,Asotin,Max. Total Population,22640,5-19,22640
2020,Benton,Max. % Total Population,21,5-19,21
2020,Benton,Max. Sub-Population,44220,5-19,44220
2020,Benton,Max. Total Population,205700,5-19,205700
2020,Chelan,Max. % Total Population,19,5-19,19
2020,Chelan,Max. Sub-Population,15300,5-19,15300
2020,Chelan,Max. Total Population,79660,5-19,79660
2020,Clallam,Max. % Total Population,14,5-19,14
2020,Clallam,Max. Sub-Population,11131,5-19,11131
2020,Clallam,Max. Total Population,76770,5-19,76770
2020,Clark,Max. % Total Population,20,5-19,20
2020,Clark,Max. Sub-Population,97808,5-19,97808
2020,Clark,Max. Total Population,499200,5-19,499200
2020,Columbia,Max. % Total Population,16,5-19,16
2020,Columbia,Max. Sub-Population,652,5-19,652
2020,Columbia,Max. Total Population,4185,5-19,4185
2020,Cowlitz,Max. % Total Population,19,5-19,19
2020,Cowlitz,Max. Sub-Population,20698,5-19,20698
2020,Cowlitz,Max. Total Population,110500,5-19,110500
2020,Douglas,Max. % Total Population,21,5-19,21
2020,Douglas,Max. Sub-Population,9328,5-19,9328
2020,Douglas,Max. Total Population,43750,5-19,43750
2020,Ferry,Max. % Total Population,16,5-19,16
2020,Ferry,Max. Sub-Population,1291,5-19,1291
2020,Ferry,Max. Total Population,7910,5-19,7910
2020,Franklin,Max. % Total Population,26,5-19,26
2020,Franklin,Max. Sub-Population,25441,5-19,25441
2020,Franklin,Max. Total Population,96760,5-19,96760
2020,Garfield,Max. % Total Population,18,5-19,18
2020,Garfield,Max. Sub-Population,405,5-19,405
2020,Garfield,Max. Total Population,2225,5-19,2225
2020,Grant,Max. % Total Population,24,5-19,24
2020,Grant,Max. Sub-Population,24128,5-19,24128
2020,Grant,Max. Total Population,100130,5-19,100130
2020,Grays Harbor,Max. % Total Population,17,5-19,17
2020,Grays Harbor,Max. Sub-Population,12762,5-19,12762
2020,Grays Harbor,Max. Total Population,74720,5-19,74720
2020,Island,Max. % Total Population,14,5-19,14
2020,Island,Max. Sub-Population,12365,5-19,12365
2020,Island,Max. Total Population,85530,5-19,85530
2020,Jefferson,Max. % Total Population,11,5-19,11
2020,Jefferson,Max. Sub-Population,3475,5-19,3475
2020,Jefferson,Max. Total Population,32190,5-19,32190
2020,King,Max. % Total Population,17,5-19,17
2020,King,Max. Sub-Population,387642,5-19,387642
2020,King,Max. Total Population,2260800,5-19,2260800
2020,Kitsap,Max. % Total Population,17,5-19,17
2020,Kitsap,Max. Sub-Population,46009,5-19,46009
2020,Kitsap,Max. Total Population,272200,5-19,272200
2020,Kittitas,Max. % Total Population,21,5-19,21
2020,Kittitas,Max. Sub-Population,10020,5-19,10020
2020,Kittitas,Max. Total Population,48140,5-19,48140
2020,Klickitat,Max. % Total Population,16,5-19,16
2020,Klickitat,Max. Sub-Population,3742,5-19,3742
2020,Klickitat,Max. Total Population,22770,5-19,22770
2020,Lewis,Max. % Total Population,18,5-19,18
2020,Lewis,Max. Sub-Population,14498,5-19,14498
2020,Lewis,Max. Total Population,80250,5-19,80250
2020,Lincoln,Max. % Total Population,19,5-19,19
2020,Lincoln,Max. Sub-Population,2052,5-19,2052
2020,Lincoln,Max. Total Population,11050,5-19,11050
2020,Mason,Max. % Total Population,16,5-19,16
2020,Mason,Max. Sub-Population,10721,5-19,10721
2020,Mason,Max. Total Population,65650,5-19,65650
2020,Okanogan,Max. % Total Population,19,5-19,19
2020,Okanogan,Max. Sub-Population,8088,5-19,8088
2020,Okanogan,Max. Total Population,43130,5-19,43130
2020,Pacific,Max. % Total Population,14,5-19,14
2020,Pacific,Max. Sub-Population,3122,5-19,3122
2020,Pacific,Max. Total Population,21840,5-19,21840
2020,Pend Oreille,Max. % Total Population,16,5-19,16
2020,Pend Oreille,Max. Sub-Population,2200,5-19,2200
2020,Pend Oreille,Max. Total Population,13850,5-19,13850
2020,Pierce,Max. % Total Population,20,5-19,20
2020,Pierce,Max. Sub-Population,177549,5-19,177549
2020,Pierce,Max. Total Population,900700,5-19,900700
2020,San Juan,Max. % Total Population,12,5-19,12
2020,San Juan,Max. Sub-Population,1997,5-19,1997
2020,San Juan,Max. Total Population,17340,5-19,17340
2020,Skagit,Max. % Total Population,18,5-19,18
2020,Skagit,Max. Sub-Population,23799,5-19,23799
2020,Skagit,Max. Total Population,130450,5-19,130450
2020,Skamania,Max. % Total Population,16,5-19,16
2020,Skamania,Max. Sub-Population,2010,5-19,2010
2020,Skamania,Max. Total Population,12220,5-19,12220
2020,Snohomish,Max. % Total Population,18,5-19,18
2020,Snohomish,Max. Sub-Population,152998,5-19,152998
2020,Snohomish,Max. Total Population,830500,5-19,830500
2020,Spokane,Max. % Total Population,20,5-19,20
2020,Spokane,Max. Sub-Population,104943,5-19,104943
2020,Spokane,Max. Total Population,522600,5-19,522600
2020,Stevens,Max. % Total Population,18,5-19,18
2020,Stevens,Max. Sub-Population,8082,5-19,8082
2020,Stevens,Max. Total Population,45920,5-19,45920
2020,Thurston,Max. % Total Population,19,5-19,19
2020,Thurston,Max. Sub-Population,54695,5-19,54695
2020,Thurston,Max. Total Population,291000,5-19,291000
2020,Wahkiakum,Max. % Total Population,14,5-19,14
2020,Wahkiakum,Max. Sub-Population,579,5-19,579
2020,Wahkiakum,Max. Total Population,4210,5-19,4210
2020,Walla Walla,Max. % Total Population,20,5-19,20
2020,Walla Walla,Max. Sub-Population,12641,5-19,12641
2020,Walla Walla,Max. Total Population,62580,5-19,62580
2020,Whatcom,Max. % Total Population,19,5-19,19
2020,Whatcom,Max. Sub-Population,42813,5-19,42813
2020,Whatcom,Max. Total Population,228000,5-19,228000
2020,Whitman,Max. % Total Population,25,5-19,25
2020,Whitman,Max. Sub-Population,12462,5-19,12462
2020,Whitman,Max. Total Population,50480,5-19,50480
2020,Yakima,Max. % Total Population,25,5-19,25
2020,Yakima,Max. Sub-Population,64763,5-19,64763
2020,Yakima,Max. Total Population,258200,5-19,258200
2020,State Total,Max. % Total Population,19,5-19,19
2020,State Total,Max. Sub-Population,1436433,5-19,1436433
2020,State Total,Max. Total Population,7656200,5-19,7656200
2019,Adams,Max. % Total Population,19,20-34,19
2019,Adams,Max. Sub-Population,3837,20-34,3837
2019,Adams,Max. Total Population,20150,20-34,20150
2019,Asotin,Max. % Total Population,14,20-34,14
2019,Asotin,Max. Sub-Population,3234,20-34,3234
2019,Asotin,Max. Total Population,22520,20-34,22520
2019,Benton,Max. % Total Population,18,20-34,18
2019,Benton,Max. Sub-Population,37121,20-34,37121
2019,Benton,Max. Total Population,201800,20-34,201800
2019,Chelan,Max. % Total Population,16,20-34,16
2019,Chelan,Max. Sub-Population,12173,20-34,12173
2019,Chelan,Max. Total Population,78420,20-34,78420
2019,Clallam,Max. % Total Population,15,20-34,15
2019,Clallam,Max. Sub-Population,11063,20-34,11063
2019,Clallam,Max. Total Population,76010,20-34,76010
2019,Clark,Max. % Total Population,18,20-34,18
2019,Clark,Max. Sub-Population,86928,20-34,86928
2019,Clark,Max. Total Population,488500,20-34,488500
2019,Columbia,Max. % Total Population,10,20-34,10
2019,Columbia,Max. Sub-Population,405,20-34,405
2019,Columbia,Max. Total Population,4160,20-34,4160
2019,Cowlitz,Max. % Total Population,16,20-34,16
2019,Cowlitz,Max. Sub-Population,17781,20-34,17781
2019,Cowlitz,Max. Total Population,108950,20-34,108950
2019,Douglas,Max. % Total Population,18,20-34,18
2019,Douglas,Max. Sub-Population,7566,20-34,7566
2019,Douglas,Max. Total Population,42820,20-34,42820
2019,Ferry,Max. % Total Population,14,20-34,14
2019,Ferry,Max. Sub-Population,1062,20-34,1062
2019,Ferry,Max. Total Population,7830,20-34,7830
2019,Franklin,Max. % Total Population,21,20-34,21
2019,Franklin,Max. Sub-Population,20051,20-34,20051
2019,Franklin,Max. Total Population,94680,20-34,94680
2019,Garfield,Max. % Total Population,11,20-34,11
2019,Garfield,Max. Sub-Population,236,20-34,236
2019,Garfield,Max. Total Population,2220,20-34,2220
2019,Grant,Max. % Total Population,19,20-34,19
2019,Grant,Max. Sub-Population,19041,20-34,19041
2019,Grant,Max. Total Population,98740,20-34,98740
2019,Grays Harbor,Max. % Total Population,17,20-34,17
2019,Grays Harbor,Max. Sub-Population,12576,20-34,12576
2019,Grays Harbor,Max. Total Population,74160,20-34,74160
2019,Island,Max. % Total Population,17,20-34,17
2019,Island,Max. Sub-Population,14516,20-34,14516
2019,Island,Max. Total Population,84820,20-34,84820
2019,Jefferson,Max. % Total Population,11,20-34,11
2019,Jefferson,Max. Sub-Population,3419,20-34,3419
